iter	Passed	Remaining
737	1538	546
738	1539	543
739	1541	541
740	1542	539
741	1544	536
742	1545	534
743	1548	532
744	1550	530
745	1552	528
746	1553	526
747	1555	524
748	1557	521
749	1558	519
750	1561	517
751	1563	515
752	1565	513
753	1566	511
754	1568	508
755	1569	506
756	1571	504
757	1576	503
758	1578	501
759	1580	499
760	1581	496
761	1583	494
762	1585	492
763	1586	490
764	1590	488
765	1591	486
766	1593	484
767	1594	481
768	1596	479
769	1598	477
770	1599	475
771	1601	473
772	1604	471
773	1605	468
774	1607	466
775	1608	464
776	1610	462
777	1611	459
778	1613	457
779	1616	455
780	1617	453
781	1619	451
782	1621	449
783	1623	447
784	1624	444
785	1625	442
786	1627	440
787	1630	438
788	1632	436
789	1633	434
790	1635	432
791	1637	429
792	1638	427
793	1640	425
794	1644	424
795	1645	421
796	1647	419
797	1648	417
798	1650	415
799	1652	413
800	1653	410
801	1657	409
802	1659	407
803	1660	404
804	1662	402
805	1663	400
806	1665	398
807	1666	396
808	1668	393
809	1670	391
810	1672	389
811	1673	387
812	1675	385
813	1676	383
814	1678	380
815	1679	378
816	1680	376
817	1683	374
818	1685	372
819	1687	370
820	1688	368
821	1690	365
822	1691	363
823	1692	361
824	1694	359
825	1697	357
826	1699	355
827	1700	353
828	1701	351
829	1703	348
830	1704	346
831	1705	344
832	1707	342
833	1709	340
834	1711	338
835	1713	336
836	1714	333
837	1716	331
838	1717	329
839	1718	327
840	1720	325
841	1721	323
842	1724	321
843	1726	319
844	1727	316
845	1728	314
846	1730	312
847	1731	310
848	1733	308
849	1734	306
850	1736	304
851	1738	302
852	1740	299
853	1741	297
854	1743	295
855	1744	293
856	1745	291
857	1747	289
858	1748	287
859	1751	285
860	1753	283
861	1754	280
862	1755	278
863	1757	276
864	1758	274
865	1760	272
866	1761	270
867	1763	268
868	1765	266
869	1767	264
870	1768	261
871	1770	259
872	1771	257
873	1772	255
874	1773	253
875	1776	251
876	1778	249
877	1780	247
878	1781	245
879	1783	243
880	1784	241
881	1785	238
882	1787	236
883	1788	234
884	1791	232
885	1793	230
886	1794	228
887	1795	226
888	1797	224
889	1798	222
890	1800	220
891	1801	218
892	1803	216
893	1805	214
894	1807	212
895	1808	209
896	1810	207
897	1811	205
898	1813	203
899	1814	201
900	1816	199
901	1819	197
902	1820	195
903	1822	193
904	1823	191
905	1825	189
906	1827	187
907	1828	185
908	1830	183
909	1833	181
910	1834	179
911	1836	177
912	1837	175
913	1839	173
914	1840	171
915	1842	168
916	1846	167
917	1847	165
918	1849	163
919	1850	160
920	1852	158
921	1853	156
922	1855	154
923	1858	152
924	1860	150
925	1861	148
926	1863	146
927	1864	144
928	1866	142
929	1867	140
930	1869	138
931	1872	136
932	1874	134
933	1875	132
934	1877	130
935	1878	128
936	1880	126
937	1881	124
938	1883	122
939	1885	120
940	1887	118
941	1888	116
942	1890	114
943	1892	112
944	1894	110
945	1895	108
946	1898	106
947	1900	104
948	1901	102
949	1902	100
950	1904	98
951	1906	96
952	1907	94
953	1908	92
954	1910	90
955	1912	88
956	1914	86
957	1915	83
958	1916	81
959	1918	79
960	1919	77
961	1921	75
962	1922	73
963	1925	71
964	1927	69
965	1928	67
966	1930	65
967	1931	63
968	1933	61
969	1934	59
970	1935	57
971	1937	55
972	1940	53
973	1941	51
974	1943	49
975	1944	47
976	1945	45
977	1947	43
978	1948	41
979	1950	39
980	1952	37
981	1954	35
982	1955	33
983	1957	31
984	1958	29
985	1960	27
986	1961	25
987	1962	23
988	1964	21
989	1967	19
990	1968	17
991	1970	15
992	1971	13
993	1973	11
994	1974	9
995	1976	7
996	1977	5
997	1981	3
998	1983	1
999	1986	0
